participant,fer_nrmse,fer_r2,fer_corr,fer_p,pupil_nrmse,pupil_r2,pupil_corr,pupil_p,gsr_nrmse,gsr_r2,gsr_corr,gsr_p
F5tXL,0.28446203063827463,0.3173523165974811,0.6833511019380124,2.266988354122488e-06,0.331655414636953,0.07205509203627425,0.4819525769682712,0.002184722725006195,0.31126263182320074,0.1826614569055376,0.44955669779333346,0.004631784239991557
Gax8,0.33459998053223494,0.05550512328541224,0.27641240485854024,0.09297499645088159,0.3302216925305335,0.08006110371329012,0.2906389403141249,0.07669304644785176,0.2863540068156582,0.3082418054058029,0.5792752784685796,0.00013859423447770244
Hx7dO,0.29098378945377534,0.28569187390360196,0.5873676341731128,0.00010583069105665787,0.33918173011010844,0.029461199827479856,0.17351860776020064,0.29748664728562585,0.3045487290853691,0.21754101303227635,0.4671537630701581,0.003107211172446902
wohkw,0.3234712527506743,0.11728672908147542,0.4046780194735022,0.011731844308256861,0.33503978703870885,0.053019485523773224,0.25381871393111705,0.12412649319787401,0.321570581344705,0.12762964984910619,0.45285649516529136,0.004304464965424666
PPjCX,0.4930316846334357,-1.0506762625235568,0.3154567241495825,0.05370263944778869,0.3332716182127847,0.06299026147222142,0.2521255182491515,0.12674175324614848,0.334871346847046,0.05397323877808036,0.6002401464852483,6.787980807544543e-05
tMGNS,0.35408860002927345,-0.057721467441298246,0.03684426837758437,0.8261743720097787,0.33789470294045765,0.036813922461045534,0.2531104369133287,0.12521552750732384,0.3064827598599951,0.20757251780341168,0.6276177485924881,2.469841988747432e-05
5KB3V,0.2820942211500395,0.32866972519100046,0.6981322427720257,1.1007870401676747e-06,0.33616368909104255,0.04665639856085557,0.29286741376423703,0.07435807926588071,0.29309279357764,0.27530021144419237,0.5481989687690999,0.00036663086261660266
EJOiBs,0.3552418861458862,-0.06462518002745221,0.2562684174834303,0.12041440188515791,0.3542812505783604,-0.05887510351801595,0.17955703734959477,0.28072785212445106,0.43747292278348016,-0.6145472325951904,0.4147467173625029,0.009624385570886317
gf5X,0.35428395424762954,-0.05888901430316018,0.06054281355277971,0.7180431343333286,0.3313848341680528,0.07356973540914402,0.2758920009392476,0.09361733214539911,0.29987321281962775,0.24138256201707153,0.4923742036507118,0.0016886600360830571
gjGzb,0.34170204550282884,0.014985161818160897,0.19311486410936388,0.2453785011024699,0.3427398999061179,0.008992487652704662,0.10734200666984084,0.521227839979807,0.2902549923666001,0.28926613009141955,0.5933557396890904,8.628050505923535e-05
LR96S,0.33395655624011455,0.05913386658339925,0.29338297463424,0.07382588723414713,0.3392522445192292,0.029057865869225652,0.1741361843225132,0.29574386917701734,0.312375551010438,0.17680645019665142,0.44023474868428053,0.00567561563339079
CoQmx,0.3427652579641813,0.008846592851237012,0.2533952370389327,0.12477676983162299,0.351700407869511,-0.0435013847703718,0.05349615930365163,0.7497379610393501,0.28329126381168357,0.3229610574833204,0.5908308269938507,9.40863451457984e-05
G5XzoP,0.3517019428318158,-0.04351107685689093,-0.031680431724607716,0.8502379602909416,0.3757325637833832,-0.19098200724113434,0.0936009917141633,0.576195707745618,0.29490974025740524,0.2662877637879363,0.5163446799396887,0.0009047820100504558
XhsN0o,0.34598542871729915,-0.009864998496198485,-0.04975147798551362,0.7667509493898362,0.33923022780774037,0.029184301248385003,0.1835850833122625,0.2698969379525611,0.3291860595486611,0.08582240513393424,0.32247065911418243,0.04832020524912864
9FGka,0.5426251401135219,-1.4839739640948544,0.5338187170227715,0.0005573528987781748,0.45028294627726273,-0.7104808473356687,0.13716080670516076,0.41155342898104696,0.610649693082148,-2.145802866132246,0.5053833342227891,0.0012103472979902703
hMHEK1,0.35311128439754247,-0.05189195792061985,-0.13060830218467442,0.43445843958758135,0.3407029951555593,0.02073587471008176,0.17933481378064217,0.2813334927204796,0.3565251942635517,-0.07232984166964873,0.49619866579333716,0.0015332385030549626
4FoNM,0.3457941630399601,-0.0087489694449856,0.2155445594831895,0.19371766203311375,0.33589781563071275,0.048163955260769,0.22317282787430243,0.17803441198954548,0.28493470790261355,0.31508213305088084,0.5783491904227936,0.00014287425611516857
8vDRG,0.33600049492249423,0.04758156174760375,0.26381773399990927,0.10949763122073021,0.3358779418253156,0.04827620681255651,0.22949045882751376,0.16574825883832375,0.28790901333473023,0.3007081242793894,0.56540119734379,0.00021654724012837244
NMy2s,0.283165554687492,0.32356089930825727,0.7178077474046136,3.9258374375875174e-07,0.3310576112891183,0.07539761009457902,0.28357715076135415,0.08447182537923127,0.3068471398665523,0.2056863669425376,0.5717712216347174,0.0001768660396205735
WQzBV,0.3513657140080684,-0.0415173574871055,-0.13352470887181045,0.42417794106913653,0.34260676275901153,0.009761944568738912,0.10028704853991953,0.5491242379492963,0.31271318290544475,0.17502625003055883,0.48076574534073774,0.002248613031510587
Cr1sTi,0.2873618872704843,0.3033646468721304,0.6605026694520142,6.4051595599540205e-06,0.33681425819976585,0.04296435842250146,0.21226167057697787,0.20075741444153133,0.822597171191361,-4.708494662194486,0.15065422955236984,0.3666108420831336
EXAMPLE,0.33207454062565145,0.06970908835579315,0.27552330064831126,0.09407447862201872,0.33513406700301573,0.05248788641747637,0.2882041846826432,0.07930916254482764,0.38358861544701517,-0.24130651727310304,0.3667656871659929,0.02351602354235982
Gftw5,0.3413640856858976,0.01693210935258327,0.21524526334763172,0.19435217717098183,0.33429014487818903,0.05725333987875825,0.25137319641339717,0.12791685629070165,0.27836804114454744,0.34628778168193586,0.5943666142013034,8.332307867805118e-05
6GSd4,0.3316723495407212,0.07196152455098337,0.29420131739613936,0.07298727376254259,0.34069042491013474,0.020809247799045694,0.15339774440287693,0.3578460049351301,0.31105550143767197,0.1837499497049443,0.5151263866702921,0.0009349706392791339
D9Hh9,0.34433756478222566,-0.0002691282734432754,0.09454249265324725,0.5723474029748719,0.330562703739641,0.07815954802699232,0.28238637357959323,0.08584166464634549,3.377932068395841,-95.26089176862742,0.2111864489518497,0.2031014714600111
F8mDn,0.34518591811394284,-0.005202508731214195,0.11248923000457209,0.5013257736415683,0.33508851458659294,0.05274586928591585,0.24628931438295543,0.13607124945975688,0.2973128400602517,0.25428178017462455,0.5406374536704098,0.00045802951487287203
KoG5ii,0.33758986023846577,0.03855043147989656,0.19881928558807363,0.2314413140353032,0.33580267026302435,0.04870325262940134,0.30528315218316016,0.062350145574257006,0.280702211995664,0.3352790123340845,0.5995570741154324,6.953181917419363e-05
M4t7k,0.3049434892798563,0.2155124726236911,0.48482934436975966,0.002036423667021411,0.32645371961095704,0.10093610997835067,0.36569154771139967,0.023957483919510164,0.3011324083343987,0.23499846367718902,0.495999212553316,0.0015410208781244787
yb3T2,0.3328346011716104,0.06544530528068238,0.30052937673722363,0.06675186738000743,0.32481659876308255,0.10992989455681568,0.38016801104542625,0.01855294441682584,0.2979739389905796,0.2509611390512876,0.5248298668555351,0.0007174317103063103
O1pGR,0.3455993842997789,-0.00761242409873697,0.039588111398551035,0.8134498929504649,0.33119077871353886,0.0746541827207392,0.3188283611730076,0.05105837548161341,0.3350606731405268,0.05290289969561324,0.49159145751590133,0.0017221272030069278
VckNZ,0.3377329357233886,0.03773671967750902,0.2556506574911858,0.12134256284076271,0.34418583073866893,0.0006144667661928116,0.10229299128848364,0.5411212127326235,0.39712673354189515,-0.33047074828788414,0.4718930374755133,0.002780430151557334
G4Egk,0.3507569458479128,-0.03791169121969529,0.06009298114829723,0.7200532275445021,0.3459414091539467,-0.009608374855085922,0.12617036739369475,0.4503635472091781,0.3227911919704758,0.12099530381085988,0.5947643251501029,8.218487937253696e-05
urJvc,0.3433487513999052,0.005469078198240163,0.3252032113997422,0.046344513008714804,0.33450692166330104,0.05603136742543602,0.24909523415786244,0.1315244292746969,0.3048403026287834,0.21604323148031446,0.5239078201610161,0.0007359654398702253
Fjil72,0.27765945996251834,0.34961087297363014,0.6263473912164003,2.593989607853015e-05,0.33644733363783363,0.0450458845573698,0.2769593255063227,0.09230358699825988,0.26729956321388104,0.39723944905152275,0.632883144430907,2.0108250330090588e-05
Pi9803,0.3476730486533668,-0.019739913832346856,0.22039082535303062,0.18364556442240731,0.3397917491545917,0.025968448669572042,0.1611990784244453,0.33362103220121225,0.5206110618001799,-1.2865155017645127,0.3658844473979411,0.023877701148094895
KWgkc,0.3475748729415011,-0.0191659660298249,0.3006257051553462,0.06666030454868924,0.3326940962863338,0.06623335668231134,0.25854687799476045,0.1170370733976698,0.4153870049380314,-0.45563999185409676,0.31066287974100854,0.05764954699186664
